year,make,manufacturer,model,drivetrain,vehicle_class,engine_size,cylinders,transmission,trans_type,num_gears,fuel_type,city,hwy,comb,comb_mpg,co2
2018,Toyota,Toyota,4Runner 4WD (Part-Time 4WD),4WD,SUV - STANDARD,4,6,AS5,A,5,X,14.3,11.9,13.2,21,308
2015,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,M6,M,6,Z,13,9,11.2,25,258
2016,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,AS6,A,6,Z,11.7,9.5,10.7,26,251
2016,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,M6,M,6,Z,13,9,11.2,25,259
2017,VOLKSWAGEN,VW,TIGUAN,2WD,SUV - SMALL,2,4,AS6,A,6,Z,11.7,9.6,10.7,26,256
2018,Volkswagen,VW,Tiguan,2WD,SUV - SMALL,2,4,AS8,A,8,X,10.6,8.7,9.8,29,229
2019,Volkswagen,VW,Tiguan,2WD,SUV - SMALL,2,4,AS8,A,8,X,10.7,8,9.5,30,221
2010,NISSAN,Renault-Nissan,TITAN,2WD,PICKUP TRUCK - STANDARD,5.6,8,A5,A,5,X,18.3,13.3,16,18,368
2011,NISSAN,Renault-Nissan,TITAN,2WD,PICKUP TRUCK - STANDARD,5.6,8,A5,A,5,X,17.9,12.8,15.6,18,359
2012,NISSAN,Renault-Nissan,TITAN,2WD,PICKUP TRUCK - STANDARD,5.6,8,A5,A,5,X,17.9,12.8,15.6,18,359
2013,NISSAN,Renault-Nissan,TITAN,2WD,PICKUP TRUCK - STANDARD,5.6,8,A5,A,5,X,17.9,12.8,15.6,18,359
2014,NISSAN,Renault-Nissan,TITAN,2WD,PICKUP TRUCK - STANDARD,5.6,8,A5,A,5,X,17.9,12.8,15.6,18,359
2015,NISSAN,Renault-Nissan,TITAN,2WD,PICKUP TRUCK - STANDARD,5.6,8,A5,A,5,X,18.4,13.3,16.1,18,370
2017,NISSAN,Renault-Nissan,TITAN,2WD,PICKUP TRUCK - STANDARD,5.6,8,AS7,A,7,X,15,11.2,13.3,21,312
2018,Nissan,Renault-Nissan,Titan,2WD,PICKUP TRUCK - STANDARD,5.6,8,AS7,A,7,X,15,11.2,13.3,21,312
2019,Nissan,Renault-Nissan,Titan,2WD,PICKUP TRUCK - STANDARD,5.6,8,AS7,A,7,X,15,11.2,13.3,21,312
2010,ACURA,Honda,TL,2WD,MID-SIZE,3.5,6,AS5,A,5,Z,13.1,8.9,11.2,25,258
2011,ACURA,Honda,TL,2WD,MID-SIZE,3.5,6,AS5,A,5,Z,13.1,8.9,11.2,25,258
2012,ACURA,Honda,TL,2WD,MID-SIZE,3.5,6,AS6,A,6,Z,11.8,8.1,10.1,28,232
